bit,pearson_corr,abs_corr
1143,0.4000000000000011,0.4000000000000011
592,0.39932615104875147,0.39932615104875147
1911,0.34641016151377546,0.34641016151377546
667,0.3305697320409459,0.3305697320409459
1152,0.3005414623878221,0.3005414623878221
1876,0.2948839123097941,0.2948839123097941
1098,0.2948839123097941,0.2948839123097941
1948,0.28819520885211736,0.28819520885211736
197,0.2876412474452671,0.2876412474452671
1754,0.28365431446558764,0.28365431446558764
80,0.280975743474508,0.280975743474508
655,0.2743516305843665,0.2743516305843665
361,0.27277236279499034,0.27277236279499034
832,0.26666666666666733,0.26666666666666733
1048,0.25264557631995643,0.25264557631995643
507,0.2520504151250412,0.2520504151250412
1564,0.24459979523511438,0.24459979523511438
1066,0.23784131253542545,0.23784131253542545
1088,0.23062266407882204,0.23062266407882204
1304,0.2305561670816942,0.2305561670816942
1,-0.2305561670816938,0.2305561670816938
1990,0.2294157338705622,0.2294157338705622
771,0.2294157338705622,0.2294157338705622
1004,0.2294157338705622,0.2294157338705622
1897,0.22941573387056213,0.22941573387056213
1280,0.229415733870562,0.229415733870562
82,-0.22941573387056097,0.22941573387056097
381,0.2237209702352071,0.2237209702352071
712,0.223720970235207,0.223720970235207
1199,0.2236530118246174,0.2236530118246174
893,0.2211629342323456,0.2211629342323456
1214,0.22116293423234556,0.22116293423234556
875,0.22110831935702616,0.22110831935702616
1391,0.20823168251814178,0.20823168251814178
577,-0.20412414523193195,0.20412414523193195
145,-0.2041241452319319,0.2041241452319319
1404,-0.2041241452319319,0.2041241452319319
116,-0.20412414523193187,0.20412414523193187
31,-0.20412414523193184,0.20412414523193184
1668,-0.20412414523193184,0.20412414523193184
814,-0.20412414523193181,0.20412414523193181
1849,0.20412414523193162,0.20412414523193162
1405,0.20412414523193162,0.20412414523193162
1542,0.20412414523193162,0.20412414523193162
950,0.20412414523193156,0.20412414523193156
658,0.2041241452319315,0.2041241452319315
1738,0.20000000000000032,0.20000000000000032
646,0.19596545041740485,0.19596545041740485
698,0.19596545041740474,0.19596545041740474
1683,0.18731716231633858,0.18731716231633858
310,0.18731716231633855,0.18731716231633855
1501,0.18463723646899902,0.18463723646899902
283,-0.18463723646899896,0.18463723646899896
1482,0.18463723646899896,0.18463723646899896
1758,0.18463723646899896,0.18463723646899896
1791,0.18238430103502137,0.18238430103502137
1416,0.17843445967710334,0.17843445967710334
276,0.1784344596771033,0.1784344596771033
999,0.17586311452816542,0.17586311452816542
162,0.17586311452816542,0.17586311452816542
1430,0.17586311452816533,0.17586311452816533
99,0.17586311452816533,0.17586311452816533
