seed,acc,auc,stab_shap,stab_lime,stab_ens,del_shap,ins_shap,del_lime,ins_lime,del_ens,ins_ens
123,0.75,0.9090909090909092,0.45960625764911944,0.7168131694447484,0.6176283109274124,0.34528254813686715,0.5356698610089222,0.3428998790193987,0.46372747534920233,0.3514460269559929,0.5316241150639384
124,0.625,0.7714285714285715,0.43274198067096237,0.829467787114846,0.7231222199643252,0.32456559472886065,0.6625393012306227,0.3155717481993187,0.5440723662961613,0.32660866804369093,0.6588743420253188
125,0.7083333333333334,0.75,0.3216454808873904,0.7244914493694982,0.6673495648591926,0.39877873064484787,0.6180070032052747,0.3775479256009867,0.5151615482220143,0.40153906234956144,0.6146404249989754
126,0.6666666666666666,0.75,0.32518177636575635,0.7943912244841037,0.7401196685407212,0.42939824846764335,0.6707607892100687,0.42546478152817274,0.6169922680495195,0.43390329660943083,0.6691795171326634
127,0.7916666666666666,0.7083333333333333,0.5183981954457181,0.675127609094233,0.6717526148078138,0.44768577347436594,0.6885624984704044,0.42739133462974993,0.5931709522266773,0.44951068775225683,0.6851560394117993
128,0.6666666666666666,0.7972027972027972,0.4612252554120838,0.7550832035042562,0.6694204385090137,0.4231353004853766,0.5937119216769581,0.3935524471447637,0.505725098386522,0.42116063362309314,0.5909489404566757
129,0.75,0.7972027972027971,0.34291058619675774,0.7994948154700476,0.6869980912086174,0.3711378045324495,0.5305674366995433,0.34268475811176535,0.4479890259650438,0.37171018969155867,0.524720257747525
130,0.4583333333333333,0.6258741258741258,0.4145480815468307,0.7998152774623364,0.6911787438103227,0.3713050349830134,0.642954689445236,0.3563504752362332,0.541633495039336,0.3719907347095425,0.6386388565180725
131,0.75,0.7972027972027972,0.346299818478116,0.6999710641815906,0.628409262841003,0.4904291118716816,0.7025978751520747,0.469700707957258,0.6134932663523439,0.4913708043570203,0.699134066908475
132,0.625,0.7972027972027972,0.3498024072267964,0.7649915992950048,0.6489009226651403,0.3912282886279907,0.6632230261691454,0.38889156549430026,0.5634679828817707,0.3979703470015845,0.6573848904634455
