radius,nBits,useFeatures,useChirality,acc,auc,collision_rate,avg_frags_per_active_bit,objective
1,256,0,0,0.6666666666666666,0.7222222222222223,0.49,1.9607843137254901,0.6242222222222223
1,512,0,0,0.75,0.75,0.33,1.492537313432836,0.6839999999999999
1,1024,0,0,0.6666666666666666,0.7500000000000001,0.1575,1.1869436201780414,0.7185000000000001
1,2048,0,0,0.6666666666666666,0.7500000000000001,0.0875,1.095890410958904,0.7325000000000002
1,4096,0,0,0.75,0.7777777777777779,0.0475,1.0498687664041995,0.768277777777778
1,8192,0,0,0.75,0.7777777777777779,0.035,1.0362694300518134,0.7707777777777779
1,16384,0,0,0.75,0.7500000000000001,0.0175,1.0178117048346056,0.7465000000000002
1,32768,0,0,0.75,0.7500000000000001,0.01,1.0101010101010102,0.7480000000000001
1,256,0,1,0.6666666666666666,0.7222222222222223,0.5024875621890548,2.01,0.6217247097844114
1,512,0,1,0.75,0.7777777777777779,0.3407960199004975,1.5169811320754718,0.7096185737976783
1,1024,0,1,0.6666666666666666,0.7500000000000001,0.16417910447761194,1.1964285714285714,0.7171641791044777
1,2048,0,1,0.6666666666666666,0.7500000000000001,0.09203980099502487,1.1013698630136985,0.7315920398009952
1,4096,0,1,0.75,0.7777777777777779,0.04975124378109453,1.0523560209424083,0.767827529021559
1,8192,0,1,0.75,0.7777777777777779,0.03731343283582089,1.0387596899224807,0.7703150912106137
1,16384,0,1,0.75,0.7500000000000001,0.017412935323383085,1.0177215189873419,0.7465174129353235
1,32768,0,1,0.75,0.7500000000000001,0.012437810945273632,1.012594458438287,0.7475124378109453
1,256,1,0,0.6666666666666666,0.6666666666666666,0.20253164556962025,1.253968253968254,0.6261603375527426
1,512,1,0,0.5833333333333334,0.7222222222222222,0.0949367088607595,1.1048951048951048,0.7032348804500703
1,1024,1,0,0.5833333333333334,0.6944444444444444,0.0759493670886076,1.082191780821918,0.6792545710267229
1,2048,1,0,0.5833333333333334,0.7222222222222222,0.02531645569620253,1.025974025974026,0.7171589310829817
1,4096,1,0,0.6666666666666666,0.7222222222222222,0.006329113924050633,1.0063694267515924,0.7209563994374121
1,8192,1,0,0.6666666666666666,0.7222222222222222,0.006329113924050633,1.0063694267515924,0.7209563994374121
1,16384,1,0,0.6666666666666666,0.7222222222222222,0.006329113924050633,1.0063694267515924,0.7209563994374121
1,32768,1,0,0.6666666666666666,0.6944444444444444,0.0,1.0,0.6944444444444444
1,256,1,1,0.6666666666666666,0.6666666666666666,0.20625,1.2598425196850394,0.6254166666666666
1,512,1,1,0.5833333333333334,0.6944444444444444,0.10625,1.118881118881119,0.6731944444444444
1,1024,1,1,0.5833333333333334,0.6666666666666666,0.0875,1.095890410958904,0.6491666666666667
1,2048,1,1,0.5833333333333334,0.7222222222222222,0.025,1.0256410256410255,0.7172222222222222
1,4096,1,1,0.6666666666666666,0.7222222222222222,0.00625,1.0062893081761006,0.7209722222222222
1,8192,1,1,0.6666666666666666,0.7222222222222222,0.00625,1.0062893081761006,0.7209722222222222
1,16384,1,1,0.6666666666666666,0.7222222222222222,0.00625,1.0062893081761006,0.7209722222222222
1,32768,1,1,0.6666666666666666,0.6944444444444444,0.0,1.0,0.6944444444444444
2,256,0,0,0.75,0.7222222222222223,0.7797356828193832,4.54,0.5662750856583456
2,512,0,0,0.75,0.6944444444444444,0.6105726872246696,2.567873303167421,0.5723299069995105
2,1024,0,0,0.75,0.6944444444444444,0.40881057268722465,1.69150521609538,0.6126823299069994
2,2048,0,0,0.75,0.7222222222222222,0.23700440528634362,1.3106235565819861,0.6748213411649535
2,4096,0,0,0.75,0.8055555555555557,0.13303964757709252,1.1534552845528456,0.7789476260401372
2,8192,0,0,0.75,0.7500000000000001,0.06960352422907488,1.074810606060606,0.7360792951541851
2,16384,0,0,0.75,0.7500000000000001,0.03700440528634361,1.0384263494967978,0.7425991189427313
2,32768,0,0,0.75,0.7500000000000001,0.01762114537444934,1.0179372197309418,0.7464757709251102
2,256,0,1,0.6666666666666666,0.7222222222222223,0.7774846086191732,4.4940711462450595,0.5667253004983877
2,512,0,1,0.75,0.6388888888888888,0.6103781882145998,2.566591422121896,0.5168132512459689
2,1024,0,1,0.75,0.6388888888888888,0.40281442392260336,1.6745213549337261,0.5583260041043682
2,2048,0,1,0.75,0.6666666666666666,0.23306948109058928,1.3038990825688073,0.6200527704485488
2,4096,0,1,0.75,0.7777777777777779,0.1284080914687775,1.1473259334006054,0.7520961594840224
2,8192,0,1,0.75,0.7500000000000001,0.06596306068601583,1.0706214689265536,0.736807387862797
2,16384,0,1,0.75,0.7500000000000001,0.03342128408091469,1.0345768880800728,0.7433157431838172
2,32768,0,1,0.75,0.7500000000000001,0.019349164467897976,1.0197309417040359,0.7461301671064205
2,256,1,0,0.5833333333333334,0.5833333333333333,0.6451127819548872,2.8177966101694913,0.4543107769423558
2,512,1,0,0.6666666666666666,0.6388888888888888,0.44511278195488724,1.8021680216802167,0.5498663324979114
2,1024,1,0,0.5833333333333334,0.6111111111111112,0.2646616541353383,1.359918200408998,0.5581787802840434
2,2048,1,0,0.5833333333333334,0.6111111111111112,0.15338345864661654,1.1811722912966252,0.5804344193817879
2,4096,1,0,0.5833333333333334,0.6944444444444444,0.07518796992481203,1.08130081300813,0.679406850459482
2,8192,1,0,0.5833333333333334,0.6944444444444444,0.03759398496240601,1.0390625,0.6869256474519632
2,16384,1,0,0.5833333333333334,0.6944444444444444,0.02406015037593985,1.024653312788906,0.6896324143692565
2,32768,1,0,0.5833333333333334,0.6666666666666666,0.010526315789473684,1.0106382978723405,0.6645614035087719
2,256,1,1,0.5833333333333334,0.5833333333333333,0.6467065868263473,2.830508474576271,0.4539920159680638
2,512,1,1,0.5833333333333334,0.6111111111111112,0.4565868263473054,1.840220385674931,0.5197937458416501
